customer_id,customer_name,segment,region,industry,csm_name,renewal_date,arr_gbp,contract_term_months,products_owned,seats_purchased,active_users_30d,active_users_previous_30d,weekly_active_users_30d,days_since_last_customer_engagement,support_tickets_90d,critical_support_tickets_90d,nps_score,invoice_status,renewal_stage,executive_sponsor_status,last_renewal_discount_pct,usage_data_last_synced_at,nps_response_date,customer_notes
CUST-1001,Northstar Logistics,Enterprise,UK & Ireland,Logistics,Aisha Khan,2026-08-08,210000,12,Workflow Pro;Secure Connect,850,318,612,190,71,8,3,-18,Disputed,Not started,Left company,18,2026-07-20,2026-07-03,New CFO has opened a budget review and the main sponsor left in June
CUST-1002,Meridian Health Systems,Enterprise,UK & Ireland,Healthcare,Aisha Khan,2026-08-22,180000,24,Workflow Pro;Analytics Hub,600,290,470,165,55,12,4,-5,Current,In discussion,Inactive,12,2026-07-20,2026-06-02,Rollout delays remain unresolved and procurement has requested a revised value case
CUST-1003,Atlas Manufacturing,Mid-market,DACH,Manufacturing,Aisha Khan,2026-09-05,140000,12,Data Quality;Analytics Hub,420,207,305,118,44,7,2,10,Overdue,Outreach scheduled,Unknown,15,2026-07-20,2026-03-12,Procurement requested a consolidated vendor list; the internal owner has not confirmed which tools will remain
CUST-1004,Oakwell Design,SMB,UK & Ireland,Professional services,Aisha Khan,2026-08-03,12000,12,Teams Workspace,25,3,17,2,120,3,1,-42,Overdue,Not started,Left company,25,2026-07-20,2026-07-01,No response to the last 3 emails and the former champion has left
CUST-1005,Stonebridge Education,Mid-market,Nordics,Education,Aisha Khan,2026-08-15,95000,12,Workflow Pro,300,171,194,96,,4,0,,Current,Not started,Unknown,10,2026-06-18,,CSM handover completed in June; the last QBR deck references 240 enabled users
CUST-1006,Harbor Retail Group,Mid-market,Benelux,Retail,Aisha Khan,2026-09-18,88000,12,Analytics Hub;Teams Workspace,240,126,181,70,38,9,2,4,Current,In discussion,Active,8,2026-07-20,2025-12-15,Store closures reduced the user population; a pilot in 2 remaining stores is above target and finance requested flexible pricing
CUST-1007,Cobalt Energy Services,Enterprise,UK & Ireland,Energy,Aisha Khan,2026-10-09,165000,36,Secure Connect;Data Quality,520,388,401,230,16,6,1,22,Current,Commercial review,Active,5,2026-07-20,2026-05-19,Security review is progressing but procurement expects a flat renewal
CUST-1008,Brightline Travel,Mid-market,Southern Europe,Travel,Aisha Khan,2026-10-28,64000,12,Teams Workspace;Workflow Pro,180,68,104,39,63,5,1,-8,Current,Not started,Inactive,20,2026-07-04,2026-06-15,Seasonal usage has fallen faster than expected and no QBR is scheduled
CUST-1009,Greenway Bank,Enterprise,UK & Ireland,Financial services,Ben Carter,2026-09-30,240000,36,Secure Connect;Analytics Hub,1000,920,850,590,8,5,0,61,Disputed,Verbal commitment,Active,4,2026-07-20,2026-02-10,Additional-seat pricing was requested in May; finance disputes a professional-services charge and the order form is unsigned
CUST-1010,Vertex Consulting,Enterprise,North America,Professional services,Ben Carter,2026-08-29,155000,24,Workflow Pro;Teams Workspace,500,475,430,310,5,6,0,54,Current,Commercial review,Inactive,6,2026-07-20,2026-06-29,Two departments joined discovery; procurement separately requested a 15% reduction and the sponsor missed 2 calls
